2N7002-7-F	from hqew, 捷辉电子商行	PIOPES	&nbsp;	4010	SOT-23
SST49LF020A-33-4C-NH	from hqew, 捷辉电子商行	SST	04+	87	PLCC
VOLARI-Z7	from hqew, 捷辉电子商行	XGL	0629+	28	BGA
VT1103M	from hqew, 捷辉电子商行	VOLTERR	0541+	49	QFP48
VT6202	from hqew, 捷辉电子商行	VIA	0408+	182	QFP128
VT6410	from hqew, 捷辉电子商行	VIA	0536CD	690	QFP128
VT82C686B	from hqew, 捷辉电子商行	VIA	0740+	1764	BGA
W25X32VSSIG	from hqew, 捷辉电子商行	WINBOND	0835+	1913	SOP8
W39V040CPZ	from hqew, 捷辉电子商行	WINBONE	0628+	90	PLCC
W39V040FBPZ	from hqew, 捷辉电子商行	WINBONE	0545+	50	PLCC
W83176R-735	from hqew, 捷辉电子商行	WINBOND	0445+	193	SSOP48
W83303AG	from hqew, 捷辉电子商行	WINBONE	0641+	42	QFP
XC3S1000	from hqew, 捷辉电子商行	XILINX	0737+	101	BGA
213RT1ZUA43	from hqew, 捷辉电子商行	ATI	0518+	168	QFP128
215-0725003	from hqew, 捷辉电子商行	ATI	0835+	57	BGA
215CCDBKB12FG	from hqew, 捷辉电子商行	ATI	0710+	227	BGA
215PAGAKA12FG	from hqew, 捷辉电子商行	ATI	0641+	182	BGA
216DDPAVA12FAG	from hqew, 捷辉电子商行	ATI	0742+	17	BGA
216GJLAKC13FAG	from hqew, 捷辉电子商行	ATI	0751+	200	BGA
216QCTALA15FG E2400	from hqew, 捷辉电子商行	ATI	1047+	211	BGA
48LC4M16A2TG-75	from hqew, 捷辉电子商行	MT	0414+	18	TSSOP
74CCX245MTCX	from hqew, 捷辉电子商行	FAI	&nbsp;	30	TSSOP20
82541PI	from hqew, 捷辉电子商行	INTEL	0645+	120	BGA
88E1115-RCJ1	from hqew, 捷辉电子商行	MARVELL	0603+	1669	QFP
88E1116-NNC1	from hqew, 捷辉电子商行	MARVELL	0809+	915	QFN
88E8053-NNC1 A3P	from hqew, 捷辉电子商行	MARVELL	0603+	17	QFN
88E8056-NNC1	from hqew, 捷辉电子商行	MARVELL	0643+	1489	QFN
98DX-BCW1	from hqew, 捷辉电子商行	MARVELL	&nbsp;	100	BGA
A29040BL-70	from hqew, 捷辉电子商行	AMC	0541+	115	PLCC
AD1888JCPZ	from hqew, 捷辉电子商行	AD	0538+	30	QFN
ADM6996MX-AD-T-1	from hqew, 捷辉电子商行	INFINEON	0646+	2114	QFP
ADP3208J	from hqew, 捷辉电子商行	AD	0704+	474	QFN
AIC-7902W	from hqew, 捷辉电子商行	ADAPREC	0329+	30	BGA
ALC861	from hqew, 捷辉电子商行	REALTEK	0635+	118	QFP48
AM29LV1600T-90ES	from hqew, 捷辉电子商行	AMD	0440+	329	TSSOP
AMD-761AC1	from hqew, 捷辉电子商行	AMD	0137+	13	BGA
AMD-768AC	from hqew, 捷辉电子商行	AMD	0219+	32	BGA
AMD-8132BLCF	from hqew, 捷辉电子商行	AMD	0544+	38	BGA
AOZ5006QI-01	from hqew, 捷辉电子商行	AOS	11+	151	QFN
AP85T03GH	from hqew, 捷辉电子商行	APEC	08+	40	TO-252
AR2316A-001	from hqew, 捷辉电子商行	ATHEROS	0704+	1473	BGA
AR8131L-AL1E	from hqew, 捷辉电子商行	ATHEROS	0934+	10	QFN
AR8132L-AL1E	from hqew, 捷辉电子商行	ATHEROS	1002+	50	QFN
AT209SG	from hqew, 捷辉电子商行	ATTANSIC	0615+	10	SSOP
AT25F512N-SI-2.7	from hqew, 捷辉电子商行	ATME	05+	25	SOP8
AT26F004-SU	from hqew, 捷辉电子商行	ATME	0745+	172	SOP8
AU6437B52-GDL-GR	from hqew, 捷辉电子商行	ALCOR	1139+	200	QFP48
AU8810A2ACAA	from hqew, 捷辉电子商行	AVORTEX	9930+	10	QFP100
B5011A1KFB	from hqew, 捷辉电子商行	Other	0614+	88	BGA
B5011A1KFBG P11	from hqew, 捷辉电子商行	BROADCOM	0515+	19	BGA
BCM4401KFBG	from hqew, 捷辉电子商行	BROADCOM	1013+	1396	BGA
BCM5703CIKHB	from hqew, 捷辉电子商行	BROADCOM	&nbsp;	53	BGA
BCM5705KFB	from hqew, 捷辉电子商行	BROADCOM	0546+	19	BGA
BCM5721KFBG P21	from hqew, 捷辉电子商行	BROADCOM	0736+	46	BGA
BCM5751KFB	from hqew, 捷辉电子商行	BROADCOM	0428+	21	BGA
BCM5764A1KPB	from hqew, 捷辉电子商行	BROADCOM	0731+	35	BGA
BCM5789KFB	from hqew, 捷辉电子商行	BROADCOM	0537+	104	BGA
BCM5789KFBG	from hqew, 捷辉电子商行	BROADCOM	0802+	593	BGA
BD82027TA QPUKES	from hqew, 捷辉电子商行	INTEL	1143+	41	BGA
BD-9G	from hqew, 捷辉电子商行	RICHTEK	0731+	5506	QFN-24
C3-1.0AGHZ(133*7.5)1.40V	from hqew, 捷辉电子商行	VIA	&nbsp;	35	BGA
C3-1.0AGHZ(133*7.5)1.40V	from hqew, 捷辉电子商行	VIA	0604+	88	BGA
C3-800AMHZ(133*6.0)1.65V	from hqew, 捷辉电子商行	VIA	0607+	10	BGA
C3-LP1.0AGHZ(133*7.5)1.25V	from hqew, 捷辉电子商行	VIA	0524+	83	BGA
C7-D 1500/400	from hqew, 捷辉电子商行	VIA	&nbsp;	53	BGA
CX20671-21Z	from hqew, 捷辉电子商行	CONEXANT	1129+	756	QFN
CX25824-11ZP2	from hqew, 捷辉电子商行	CONEXANT	1135+	20	QFP
CY283420CD	from hqew, 捷辉电子商行	CYPRESS	0333+	212	SSOP48
CY283460C	from hqew, 捷辉电子商行	CY	0519+	170	SSOP
D720404F1	from hqew, 捷辉电子商行	NEC	0718+	51	BGA
DM6161EP	from hqew, 捷辉电子商行	DAVICOM	0620+	18	QFP48
EM6A8160TSA-5G	from hqew, 捷辉电子商行	ETRONTECH	08+	50	TSSOP66
ES1869F	from hqew, 捷辉电子商行	ESS	0224+	3900	QFP
FDMS8692	from hqew, 捷辉电子商行	FAI	&nbsp;	19	QFN
G200-103-B3	from hqew, 捷辉电子商行	NVIDIA	0933+	60	BGA
GD75232DBR	from hqew, 捷辉电子商行	TI	05+	40	SSOP20
HTV180	from hqew, 捷辉电子商行	HUAYAMICRO	0842+	94	QFP
HY5DU283222A-28	from hqew, 捷辉电子商行	HYNIX	&nbsp;	395	BGA
HY5DU283222AF-2	from hqew, 捷辉电子商行	HYNIX	0332+	194	BGA
HY5DU283222AF-36	from hqew, 捷辉电子商行	HYNIX	04+	611	BGA
HY5DU561622CT-33	from hqew, 捷辉电子商行	HYNIX	0446+	99	QFP
HY5DU561622CT-36	from hqew, 捷辉电子商行	HY	0411+	22	TSSOP66
HY5DV281622AT-5	from hqew, 捷辉电子商行	HYNIX	0210+	70	SOP
HY5DV281622DT-4S	from hqew, 捷辉电子商行	HYNIX	0316+	250	TSSOP
HY5PS121621CFP-25	from hqew, 捷辉电子商行	HY	0813+	325	BGA
HY5PS121621CFP-25	from hqew, 捷辉电子商行	HYNIX	0802+	21	BGA
HY5PS561621AFP-25	from hqew, 捷辉电子商行	HYNIX	0726+	65	BGA
HY5RS123235FP-14	from hqew, 捷辉电子商行	HY	0633+	219	BGA
HY5RS573225AFP-14	from hqew, 捷辉电子商行	HY	0720+	131	BGA
HYB18H1G321AF-10	from hqew, 捷辉电子商行	QIMONDD	0814+	102	BGA
HYB18H1G321AF-10	from hqew, 捷辉电子商行	INFINEN	0844+	10	BGA
HYB18H256321AF-14	from hqew, 捷辉电子商行	QIMONDD	0650+	20	BGA
HYB18H256321AF-14	from hqew, 捷辉电子商行	INFINEN	0650+	40	BGA
HYB18H512321AF-14	from hqew, 捷辉电子商行	INFINEN	0602+	73	BGA
HYB18H512321BF-10	from hqew, 捷辉电子商行	INFINEN	0812+	502	BGA
HYB18T256161AF-28	from hqew, 捷辉电子商行	INFINEN	0546+	20	BGA
HYB18T256161AFL25	from hqew, 捷辉电子商行	INFINEN	0618+	17	BGA
HYB18T256324F-20	from hqew, 捷辉电子商行	INFINEN	0518+	20	BGA
HYB25D128323CL3.6A	from hqew, 捷辉电子商行	INFINEN	0308+	18	BGA
HYB39D32322TQ-6	from hqew, 捷辉电子商行	INFINEN	0036+	20	TSSOP
IB7450-P02	from hqew, 捷辉电子商行	SERVERWO	0241+	10	BGA
IC42S16800-7TG	from hqew, 捷辉电子商行	ICSI	0602+	44	TSSOP54
ICS93775BF	from hqew, 捷辉电子商行	ICS	0344+	291	SSOP48
IM4A5-32-10VN-12I	from hqew, 捷辉电子商行	LATTICE	03+	10	QFP48
ISL6255AHRZ	from hqew, 捷辉电子商行	INTERSIL	0919+	2908	QFN
IT8211F/DXS	from hqew, 捷辉电子商行	ITE	0550+	730	QFP128
IT8213F/AXS	from hqew, 捷辉电子商行	ITE	0809+	420	QFP128
IT8702F-A/GXS	from hqew, 捷辉电子商行	ITE	0549+	119	QFP
IT8712F-A/IXS	from hqew, 捷辉电子商行	ITE	0528+	129	QFP128
IT8712F-A/IXS/GB	from hqew, 捷辉电子商行	ITE	0630+	598	QFP128
JS28F320C3BD70	from hqew, 捷辉电子商行	INTEL	0833+	37	TSOP48
K4D261638K-LC50	from hqew, 捷辉电子商行	SAMSUNG	0743+	1755	TSOP66
K4D62323HA-QC60	from hqew, 捷辉电子商行	SAMSUNG	01+	228	QFP
K4J55323QF-GC16	from hqew, 捷辉电子商行	SAMSUNG	0522+	99	BGA
K8M800	from hqew, 捷辉电子商行	VIA	0607+	328	BGA
KIRA100-R011	from hqew, 捷辉电子商行	PEPPERCON	0615+	13	BGA
LC272H5B-03SA-F-E	from hqew, 捷辉电子商行	LENOVO	10+	18	TQFP100
LE82GM965 SLA5T	from hqew, 捷辉电子商行	INTEL	0835+	2	BGA
LE82PM965 SLA5U	from hqew, 捷辉电子商行	INTEL	1049+	190	BGA
LE82PM965 SLA5U	from hqew, 捷辉电子商行	INTEL	0839+	3	BGA
LPC47M107S-MC	from hqew, 捷辉电子商行	SMSC	0516+	26	QFP128
LPC47M182-NW	from hqew, 捷辉电子商行	SMSC	0602+	554	QFP128
LSISAS1068E B2	from hqew, 捷辉电子商行	LSI	0802+	119	BGA
MC7805CD2TR4G	from hqew, 捷辉电子商行	ON SEMI	0745+	60	TO-263
MMST3906-7-F	from hqew, 捷辉电子商行	DIODES INC	&nbsp;	200	SOT23
MX25L1605AM2C-15G	from hqew, 捷辉电子商行	MXIC	0829+	552	SOP8
M1689B1	from hqew, 捷辉电子商行	ALI	0523+	130	BGA
MAX1999EEI	from hqew, 捷辉电子商行	MAXIM	0712+	542	SOP28
NCP3063BDR2G	from hqew, 捷辉电子商行	ON SEMI	11+	50	SOIC-8
NCP3063DR2G	from hqew, 捷辉电子商行	ON SEMI	11+	433	SOIC-8
NCT2032D	from hqew, 捷辉电子商行	NUVOTON	1021+	30	QFP48
NF750A-SLI-N-A2	from hqew, 捷辉电子商行	NVIDIA	0815+	217	BGA
NT68520XTF	from hqew, 捷辉电子商行	NQVATEK	03+	1440	QFP
NU82X38 SLALJ	from hqew, 捷辉电子商行	INTEL	0747+	283	BGA
NU82X48 SLASF	from hqew, 捷辉电子商行	INTEL	0821+	144	BGA
P3100SBLRP	from hqew, 捷辉电子商行	LITTELFUS	07+	1100	DO-214AA
P4M800	from hqew, 捷辉电子商行	VIA	0607+	158	BGA
P4M800 PRO	from hqew, 捷辉电子商行	VIA	0706CD	210	BGA
PC82573E	from hqew, 捷辉电子商行	INTEL	0606+	71	BGA
PC87363-UNI/VLA	from hqew, 捷辉电子商行	NS	0330+	704	QFP
PC87417-ICK/VLA	from hqew, 捷辉电子商行	NS	03+	15	QFP128
PCI1410APGE	from hqew, 捷辉电子商行	TI	0706+	600	TQFP144
PDC20779 88SP6022-LKJ	from hqew, 捷辉电子商行	MARVELL	0442+	69	QFP
PEX8547-AA25BC	from hqew, 捷辉电子商行	ATI	0813+	37	BGA
PI3HDMI412ADZBE	from hqew, 捷辉电子商行	PERICOM	0743+	48	QFN56
PM25LV040-100SCE	from hqew, 捷辉电子商行	PMC	0601+	54	SOP8
PM49L004T-33JC	from hqew, 捷辉电子商行	PMC	0547+	16	PLCC
PM49L004T-33JCE	from hqew, 捷辉电子商行	PMC	05+	191	PLCC
PS2561A-1-V-A/JT	from hqew, 捷辉电子商行	NEC	0716+	5622	DIP4
R5C842	from hqew, 捷辉电子商行	RICOH	05+	110	BGA
RT8802APQV	from hqew, 捷辉电子商行	RICHTEK	09+	281	QFN40
RT8859MGQW	from hqew, 捷辉电子商行	RICHTEK	1108+	2500	QFN56
RT9605BPQV(BD-9G)	from hqew, 捷辉电子商行	RICHTEK	0731+	5506	QFN-24
RTL8110S-32	from hqew, 捷辉电子商行	REALTEK	03/04/05	2021	QFP128
RTL8110SC	from hqew, 捷辉电子商行	REALTEK	07/08/09	1644	QFP128
RTL8110SC-GR	from hqew, 捷辉电子商行	REALTEK	08+	423	QFP
RTL8111C	from hqew, 捷辉电子商行	REALTEK	08+	6464	QFN
RTL8211B	from hqew, 捷辉电子商行	REALTEK	09+	516	QFN
RTL8801	from hqew, 捷辉电子商行	REALTEK	03+	76	QFP
RTM866-485	from hqew, 捷辉电子商行	REALTEK	0813+	2348	SSOP56
RTM866-890	from hqew, 捷辉电子商行	REALTEK	0721+	684	SSOP56
SIL3114CT176	from hqew, 捷辉电子商行	SILICON	0548+	225	TQFP176
SIL3512CT128	from hqew, 捷辉电子商行	SILICON	0425+	118	TQFP128
SIS301MV	from hqew, 捷辉电子商行	SIS	0349+	10	QFP100
SN082AA2	from hqew, 捷辉电子商行	TI	05+	495	QFP144
SN74LVC14APWR	from hqew, 捷辉电子商行	TI	0510+	810	TSSOP14
SN74LVC2G66DCTR	from hqew, 捷辉电子商行	TI	0415+	200	MSOP8
SST25LF040A-33-4C-S2AE	from hqew, 捷辉电子商行	SST	06+	1427	SOP8
SST39SF040-70-4C-NH	from hqew, 捷辉电子商行	SST	453	1010	PLCC
SST39VF010-9-4C-NH	from hqew, 捷辉电子商行	SST	0129+	185	PLCC
SST49LF002A-33-4C-NH	from hqew, 捷辉电子商行	SST	04+	284	PLCC
SST49LF002B-33-4C-NH	from hqew, 捷辉电子商行	SST	05+	169	PLCC
SST49LF002B-33-4C-NHE	from hqew, 捷辉电子商行	SST	06+	266	PLCC
SST49LF003B-33-4C-NH	from hqew, 捷辉电子商行	SST	04+	110	PLCC
SST49LF080A-33-4C-NHE	from hqew, 捷辉电子商行	SST	07+	60	PLCC
STAC9766T	from hqew, 捷辉电子商行	SIGMATE	0236+	10	QFP48
USB2230-NU-02	from hqew, 捷辉电子商行	SMSC	0719+	34	QFP128
VSC8201XPX	from hqew, 捷辉电子商行	VITESSE	0617+	66	QFP128
VT1211	from hqew, 捷辉电子商行	VIA	0703+	88	QFP128
VT1611A	from hqew, 捷辉电子商行	VIA	0142CE	16	QFP48
VT1617	from hqew, 捷辉电子商行	VIA	0519CD	322	QFP48
VT1617A	from hqew, 捷辉电子商行	VIA	0523CD	1144	QFP
VT1708A	from hqew, 捷辉电子商行	VIA	0740CD	937	QFP48
VT6103	from hqew, 捷辉电子商行	VIA	1005CD	12	SSOP48
VT6103	from hqew, 捷辉电子商行	VIA	0550CD	3412	SSOP48
VT6103L	from hqew, 捷辉电子商行	VIA	0522CD	769	QFP48
VT6212L	from hqew, 捷辉电子商行	VIA	0641/074	537	QFP
VT6212L	from hqew, 捷辉电子商行	VIA	0507+CD	2160	QFP128
VT6306	from hqew, 捷辉电子商行	VIA	0509+	249	QFP128
VT8233	from hqew, 捷辉电子商行	VIA	0135+	393	BGA
VT8601A	from hqew, 捷辉电子商行	VIA	0202CE	156	BGA
W39V080APZ	from hqew, 捷辉电子商行	WINBONE	0817+	99	PLCC
W83195BG-202	from hqew, 捷辉电子商行	WINBOND	0631+	230	SSOP56
W83195BR-341	from hqew, 捷辉电子商行	WINBOND	0528+	100	SSOP56
W83201G	from hqew, 捷辉电子商行	WINBONE	0744+	69	QFP
W83627DHG	from hqew, 捷辉电子商行	WINBONE	0636+	1584	QFP
WG82567LM	from hqew, 捷辉电子商行	INTEL	0815+	122	QFN
WG82578DM	from hqew, 捷辉电子商行	INTEL	0936+	17	QFN
XC9536XL-10VQG44C	from hqew, 捷辉电子商行	XILINX	0713+	20	QFP44
213RT1ZUA43G	from hqew, 捷辉电子商行	ATI	0613+	55	QFP128
215S8CALA23FG	from hqew, 捷辉电子商行	ATI	0725+	82	BGA
215S8JAGA22F X600XT	from hqew, 捷辉电子商行	ATI	0435+	100	BGA
216-0729068	from hqew, 捷辉电子商行	ATI	1042+	50	BGA
216-0842000	from hqew, 捷辉电子商行	AMD	1236+	45	BGA
216POAVA12FG M62-P	from hqew, 捷辉电子商行	ATI	0621+	25	BGA
218S4PASA12K SB450	from hqew, 捷辉电子商行	ATI	0539+	49	BGA
25L1606EM2I-12G	from hqew, 捷辉电子商行	MXIC	10+	10	SOP8
82547GI	from hqew, 捷辉电子商行	INTEL	0519+	19	BGA
82550PM	from hqew, 捷辉电子商行	INTEL	0215+	19	BGA
82562EX	from hqew, 捷辉电子商行	INTEL	05+	30	BGA
82562EZ	from hqew, 捷辉电子商行	INTEL	0521+	117	BGA
88E8001-LKJ	from hqew, 捷辉电子商行	MARVELL	0550+	309	QFP
88E8001-LKJ1	from hqew, 捷辉电子商行	MARVELL	0713+	2341	QFP
88E8039-NNC1	from hqew, 捷辉电子商行	MARVELL	0803+	70	QFN
88E8052-NNC1 A3P	from hqew, 捷辉电子商行	MARVELL	0644+	355	QFN
88E8052-NNC1 A3P	from hqew, 捷辉电子商行	MARVELL	0532+	130	QFN
88E8053-NNC1 A3P	from hqew, 捷辉电子商行	MARVELL	0713+	170	QFN
89HPES16T7ZHBXG	from hqew, 捷辉电子商行	IDT	0810+	181	BGA
98DX241-A3	from hqew, 捷辉电子商行	MARVELL	&nbsp;	130	BGA
A290011TL-70	from hqew, 捷辉电子商行	AMC	0443+	15	PLCC
A290021TL-70F	from hqew, 捷辉电子商行	AMC	0629+	45	PLCC
AD1882JCPZ	from hqew, 捷辉电子商行	AD	0730+	316	QFN
AD1888JST	from hqew, 捷辉电子商行	AD	0410+	14	QFP48
AD1981HDJSTZ	from hqew, 捷辉电子商行	AD	0635+	564	QFP48
AD1983JCPZ	from hqew, 捷辉电子商行	AD	0729+	2251	QFN
AD1986AJCPZ	from hqew, 捷辉电子商行	AD	0717+	302	QFN
AD432M3224VLA-5	from hqew, 捷辉电子商行	ASCEND	0113+	16	QFP
ADV7320KSTZ	from hqew, 捷辉电子商行	AD	0632+	20	QFP64
ALC101	from hqew, 捷辉电子商行	REALTEK	03+	233	QFP
ALC650	from hqew, 捷辉电子商行	REALTEK	6+	603	QFP
ALC880	from hqew, 捷辉电子商行	REALTEK	07+	4093	QFP
ALC882	from hqew, 捷辉电子商行	REALTEK	07+	1203	QFP
ALC882M	from hqew, 捷辉电子商行	REALTEK	05+	703	QFP
ALC889A	from hqew, 捷辉电子商行	REALTEK	09+	363	QFP
AM82801IUX SLB8N	from hqew, 捷辉电子商行	INTEL	0930+	211	BGA
AMD-756AC	from hqew, 捷辉电子商行	AMD	0933+	20	BGA
AMD-8111AC	from hqew, 捷辉电子商行	AMD	0516+	61	BGA
AMD-8151BLC	from hqew, 捷辉电子商行	AMD	0414+	58	BGA
AOZ5006QI	from hqew, 捷辉电子商行	AOS	11+	75	QFN
AP60L02H	from hqew, 捷辉电子商行	APEC	04+	409	TO-252
AP70T03GH	from hqew, 捷辉电子商行	APERL	07+	160	TO-252
AR8131-AL1E	from hqew, 捷辉电子商行	ATHEROS	1042+	20	QFN
ASM1083	from hqew, 捷辉电子商行	ASMEDIA	1027+	133	LQFP-128
ATP867-C	from hqew, 捷辉电子商行	ACARO	0622+	200	BGA
ATSP8	from hqew, 捷辉电子商行	ATTANSIC	0411+	326	SOP8
AU6256B41-JBF-GR	from hqew, 捷辉电子商行	ALCOR	1103+	20	QFN28
AU6435B52-GDL-DR	from hqew, 捷辉电子商行	ALCOR	1148+	320	QFP48
AU6435B52-GDL-DR	from hqew, 捷辉电子商行	ALCOR	1141+	440	QFP48
AU9542B56-GBS-GR	from hqew, 捷辉电子商行	ALCOR	1149+	100	SOP28
BC352239AU	from hqew, 捷辉电子商行	CSR	0538+	20	BGA
BCM4401KQLG	from hqew, 捷辉电子商行	BROADCOM	0629+	13	QFP
BCM5670A1KEB	from hqew, 捷辉电子商行	BROADCOM	0424+	20	BGA
BCM5786KMLG	from hqew, 捷辉电子商行	BROADCOM	0642+	15	BGA
BCM5788KFBG	from hqew, 捷辉电子商行	BROADCOM	0634+	20	BGA
BCM5788KFBG	from hqew, 捷辉电子商行	BROADCOM	0732+	58	BGA
BD82LPDS	from hqew, 捷辉电子商行	INTEL	1236+	41	BGA
BT463KHF110	from hqew, 捷辉电子商行	BT	06+	58	QFP
CA20K2-2AG/HF	from hqew, 捷辉电子商行	CREATIVE	1037+	26	BGA
CH7301C-TF	from hqew, 捷辉电子商行	CHRONTEL	1014+	43	QFP48
CH7307C-DEF	from hqew, 捷辉电子商行	CHRONTEL	0830+	89	QFP48
CM6400169	from hqew, 捷辉电子商行	ICS	0617+	10	SOP
CMI9739A	from hqew, 捷辉电子商行	CMI	0410+	2008	QFP48
CMI9880	from hqew, 捷辉电子商行	CMI	0438+	460	QFP
CT5880-DEQ	from hqew, 捷辉电子商行	CREATIVE	0208+	12	QFP128
CX20555-A	from hqew, 捷辉电子商行	CONEXA	0609+	332	QFN20
CX20584-11Z	from hqew, 捷辉电子商行	CONEXANT	1106+	50	QFN
F2116TE20V	from hqew, 捷辉电子商行	RENESAS	1039	150	TQFP144
FW82546EB	from hqew, 捷辉电子商行	INTEL	0338+	18	BGA
GD82559	from hqew, 捷辉电子商行	INTEL	0405+	27	BGA
GL064A11FFIS2	from hqew, 捷辉电子商行	SPANSION	0549+	27	BGA
H5RS5223CFR-11C	from hqew, 捷辉电子商行	HYNIX	1002+	979	BGA
HY5DU283222AF-25	from hqew, 捷辉电子商行	HY	0324+	26	BGA
HY5DU561622ETP-4	from hqew, 捷辉电子商行	HY	0548+	107	TSSOP66
HY5DU561622ETP-5	from hqew, 捷辉电子商行	HY	0608+	43	TSSOP66
HY5PS121621CFP-2	from hqew, 捷辉电子商行	HY	0738+	189	BGA
HY5PS121621CFP-25	from hqew, 捷辉电子商行	HY	0738+	198	BGA
HY5PS561621AFP-28	from hqew, 捷辉电子商行	HYNIX	0642+	29	BGA
HY5PS561621AFP-28	from hqew, 捷辉电子商行	HY	0603+	368	BGA
HY5PS561621BFP-25	from hqew, 捷辉电子商行	HY	0730+	507	BGA
HY5RS123235BFP-1	from hqew, 捷辉电子商行	HY	0803+	134	BGA
HY5RS123235BFP-14	from hqew, 捷辉电子商行	HY	0735+	241	BGA
HY5RS123235BFP-14	from hqew, 捷辉电子商行	HYNIX	0832+	222	BGA
HY5RS573225FP-2	from hqew, 捷辉电子商行	HY	0533+	631	BGA
HYB18T256161AF-25	from hqew, 捷辉电子商行	INFINEN	0546+	37	BGA
IC42S16400-6TG	from hqew, 捷辉电子商行	ICSI	0449+	83	TSSOP54
ICS952505AFLF	from hqew, 捷辉电子商行	ICS	0628+	731	SSOP48
ICS952803AF	from hqew, 捷辉电子商行	ICS	0437+	15	SSOP56
ICS952803AF	from hqew, 捷辉电子商行	ICS	0437+	1000	SSOP48
ICS953805CF	from hqew, 捷辉电子商行	ICS	0544+	101	SSOP56
IM4A3-32-10VC-12I	from hqew, 捷辉电子商行	LATTICE	03+	22	QFP48
IS42S16160B-7TL	from hqew, 捷辉电子商行	ISSI	0814+	10	SOP
IS42S16400D-6TL	from hqew, 捷辉电子商行	ISSI	0648+	53	TSSOP54
ISL6262CRZ	from hqew, 捷辉电子商行	INTERSIL	0649+	82	QFN
ISL6537ACRZ	from hqew, 捷辉电子商行	INTERSIL	0810+	5710	QFN
ISL6561CRZ	from hqew, 捷辉电子商行	INTERSIL	0542+	28	QFN
ISL6566CRZ-T	from hqew, 捷辉电子商行	INTERSIL	0927+	745	QFN
ISL6612ACBZ	from hqew, 捷辉电子商行	INTERSIL	0640+	310	QFN
ISL9P933DF	from hqew, 捷辉电子商行	ICS	05+	176	SSOP48
IT8212F/CXS	from hqew, 捷辉电子商行	ITE	0402+	233	QFP128
IT8705AF/GXS	from hqew, 捷辉电子商行	ITE	0532+	93	QFP128
IT8705AF/GXS	from hqew, 捷辉电子商行	ITE	0747+	1339	QFP128
IT8712F-A/GXS	from hqew, 捷辉电子商行	ITE	0509+	710	QFP128
